month,year,individuals
Jun,2012,924
Jul,2012,1313
Aug,2012,1554
Aug,2012,1567
Aug,2012,1695
Sep,2012,1704
Sep,2012,2099
Sep,2012,2588
Sep,2012,3869
Oct,2012,3767
Oct,2012,5530
Oct,2012,5639
Nov,2012,6097
Nov,2012,6499
Nov,2012,7728
Nov,2012,8125
Dec,2012,8858
Dec,2012,10169
Dec,2012,10474
Dec,2012,10747
Dec,2012,10823
Dec,2012,11098
Dec,2012,11190
Dec,2012,11260
Dec,2012,11280
Dec,2012,11673
Dec,2012,12219
Dec,2012,12836
Dec,2012,12915
Dec,2012,13001
Jan,2013,13059
Jan,2013,13109
Jan,2013,13192
Jan,2013,13292
Jan,2013,13556
Jan,2013,13684
Jan,2013,13874
Jan,2013,13874
Jan,2013,13963
Jan,2013,14060
Jan,2013,14156
Jan,2013,14248
Jan,2013,14312
Jan,2013,14375
Jan,2013,14441
Jan,2013,14478
Feb,2013,14801
Feb,2013,14878
Feb,2013,36977
Feb,2013,37057
Feb,2013,38150
Feb,2013,38195
Feb,2013,38244
Feb,2013,38308
Feb,2013,38363
Feb,2013,38910
Feb,2013,39454
Feb,2013,40139
Feb,2013,40170
Feb,2013,40245
Feb,2013,40306
Feb,2013,40404
Feb,2013,40958
Feb,2013,41591
Feb,2013,41689
Feb,2013,30064
Feb,2013,30184
Feb,2013,30292
Feb,2013,30302
Mar,2013,42531
Mar,2013,38531
Mar,2013,38665
Mar,2013,43743
Mar,2013,44149
Mar,2013,44442
Mar,2013,44758
Mar,2013,45522
Mar,2013,46284
Mar,2013,46568
Mar,2013,46934
Mar,2013,45604
Mar,2013,46003
Mar,2013,46412
Mar,2013,46891
Mar,2013,47295
Mar,2013,47798
Apr,2013,47857
Apr,2013,48782
Apr,2013,49786
Apr,2013,51459
Apr,2013,52297
Apr,2013,49197
Apr,2013,50054
Apr,2013,49904
Apr,2013,50126
Apr,2013,50361
Apr,2013,49657
Apr,2013,50035
Apr,2013,50416
Apr,2013,50498
Apr,2013,50273
Apr,2013,53032
May,2013,62032
May,2013,62502
May,2013,63499
May,2013,66420
May,2013,67811
May,2013,67811
May,2013,69754
May,2013,70166
May,2013,69491
May,2013,69811
May,2013,70237
May,2013,70750
May,2013,73698
May,2013,74380
Jun,2013,75787
Jun,2013,76107
Jun,2013,78205
Jun,2013,80425
Jun,2013,84046
Jun,2013,85012
Jun,2013,85012
Jun,2013,86812
Jun,2013,87527
Jul,2013,88960
Jul,2013,90096
Jul,2013,90903
Jul,2013,91991
Jul,2013,93455
Jul,2013,95364
Jul,2013,96271
Jul,2013,99167
Jul,2013,100511
Jul,2013,103194
Aug,2013,106587
Aug,2013,108013
Aug,2013,108013
Aug,2013,109463
Aug,2013,110636
Aug,2013,109845
Aug,2013,110041
Aug,2013,110088
Aug,2013,110017
Sep,2013,110822
Sep,2013,111101
Sep,2013,124346
Sep,2013,124346
Sep,2013,124373
Sep,2013,126717
Oct,2013,127411
Oct,2013,125701
Oct,2013,125739
Oct,2013,125840
Oct,2013,125906
Oct,2013,125893
Oct,2013,125283
Oct,2013,125819
Oct,2013,125876
Oct,2013,125962
Oct,2013,126051
Oct,2013,126081
Oct,2013,126107
Oct,2013,126122
Oct,2013,126034
Oct,2013,126121
Nov,2013,126081
Nov,2013,126063
Nov,2013,125983
Nov,2013,126166
Nov,2013,126442
Nov,2013,126632
Nov,2013,126770
Nov,2013,127304
Nov,2013,127409
Nov,2013,127495
Nov,2013,127605
Nov,2013,127733
Nov,2013,127876
Nov,2013,127971
Nov,2013,128158
Dec,2013,128843
Dec,2013,128967
Dec,2013,129174
Dec,2013,129289
Dec,2013,129407
Dec,2013,129486
Dec,2013,129618
Dec,2013,130524
Dec,2013,130720
Dec,2013,130841
Dec,2013,131086
Dec,2013,131191
Dec,2013,131316
Dec,2013,131599
Jan,2014,131707
Jan,2014,132238
Jan,2014,132356
Jan,2014,132383
Jan,2014,132415
Jan,2014,132504
Jan,2014,132598
Jan,2014,132670
Jan,2014,132740
Jan,2014,132749
Jan,2014,132799
Jan,2014,132849
Jan,2014,132877
Jan,2014,133023
Feb,2014,133145
Feb,2014,133251
Feb,2014,133267
Feb,2014,133379
Feb,2014,133435
Feb,2014,133529
Feb,2014,133608
Feb,2014,133648
Feb,2014,133727
Feb,2014,133815
Feb,2014,133881
Feb,2014,133924
Feb,2014,134014
Feb,2014,134112
Feb,2014,134255
Feb,2014,134358
Feb,2014,134450
Feb,2014,134534
Mar,2014,134694
Mar,2014,134779
Mar,2014,134823
Mar,2014,134854
Mar,2014,134914
Mar,2014,135031
Mar,2014,135030
Mar,2014,135030
Mar,2014,135140
Mar,2014,135289
Mar,2014,135302
Mar,2014,135336
Mar,2014,135378
Mar,2014,135410
Mar,2014,135451
Mar,2014,135499
Mar,2014,135577
Mar,2014,135645
Apr,2014,135684
Apr,2014,135841
Apr,2014,135853
Apr,2014,135905
Apr,2014,135977
Apr,2014,136045
Apr,2014,136094
Apr,2014,136067
Apr,2014,136119
Apr,2014,136236
Apr,2014,136307
Apr,2014,136424
Apr,2014,136375
Apr,2014,136438
Apr,2014,136512
Apr,2014,136624
Apr,2014,136654
Apr,2014,136724
Apr,2014,136807
May,2014,136855
May,2014,137045
May,2014,137063
May,2014,137086
May,2014,137096
May,2014,137123
May,2014,137088
May,2014,137056
May,2014,137056
May,2014,137430
May,2014,137566
May,2014,137560
May,2014,137515
May,2014,137444
May,2014,137460
May,2014,137454
May,2014,137454
Jun,2014,137472
Jun,2014,137532
Jun,2014,137539
Jun,2014,137555
Jun,2014,137531
Jun,2014,137632
Jun,2014,137679
Jun,2014,137734
Jun,2014,137734
Jun,2014,137788
Jun,2014,137828
Jun,2014,137916
Jun,2014,137919
Jun,2014,137906
Jun,2014,137994
Jun,2014,137994
Jun,2014,138086
Jun,2014,138086
Jun,2014,138101
Jun,2014,138131
Jun,2014,138151
Jul,2014,138159
Jul,2014,138245
Jul,2014,138290
Jul,2014,138283
Jul,2014,138274
Jul,2014,138289
Jul,2014,138292
Jul,2014,138321
Jul,2014,138306
Jul,2014,138386
Jul,2014,138387
Jul,2014,138407
Jul,2014,138347
Aug,2014,138267
Aug,2014,138310
Aug,2014,138350
Aug,2014,138373
Aug,2014,138457
Aug,2014,138528
Aug,2014,138573
Aug,2014,138616
Aug,2014,138735
Aug,2014,138758
Aug,2014,138805
Aug,2014,138844
Aug,2014,138885
Aug,2014,138936
Aug,2014,138937
Aug,2014,138975
Aug,2014,139040
Aug,2014,139090
Aug,2014,139209
Sep,2014,139253
Sep,2014,139289
Sep,2014,139311
Sep,2014,139333
Sep,2014,139403
Sep,2014,139430
Sep,2014,139462
Sep,2014,139501
Sep,2014,139625
Sep,2014,139657
Sep,2014,139692
Sep,2014,139734
Sep,2014,139775
Sep,2014,139794
Sep,2014,139825
Sep,2014,139821
Sep,2014,139835
Sep,2014,139887
Sep,2014,139908
Sep,2014,139936
Oct,2014,139930
Oct,2014,139929
Oct,2014,139942
Oct,2014,139922
Oct,2014,139954
Oct,2014,140026
Oct,2014,140024
Oct,2014,140023
Oct,2014,140100
Oct,2014,140133
Oct,2014,140130
Oct,2014,140247
Oct,2014,140273
Oct,2014,140289
Nov,2014,140115
Nov,2014,140105
Nov,2014,140103
Nov,2014,140104
Nov,2014,140221
Nov,2014,140247
Nov,2014,140240
Nov,2014,140259
Nov,2014,140406
Nov,2014,140649
Nov,2014,138543
Dec,2014,137504
Dec,2014,137671
Dec,2014,137812
Dec,2014,138212
Jan,2015,136717
Feb,2015,136661
Mar,2015,133516
Mar,2015,133619
Apr,2015,133862
May,2015,134329
Jul,2015,128019
Sep,2015,128019
Oct,2015,127681
Nov,2015,123585
Dec,2015,117658
Jan,2016,118512
Feb,2016,119301
Mar,2016,119665
Apr,2016,120491
May,2016,117702
Jun,2016,117168
Jul,2016,114911
Aug,2016,116175
Sep,2016,117350
Oct,2016,115204
Dec,2016,116013
Jan,2017,117591
Feb,2017,120154
Apr,2017,122228
Jul,2017,122203
Sep,2017,124534
Oct,2017,126027
Nov,2017,126291
Dec,2017,126688
Jan,2018,127414
Feb,2018,128034
Mar,2018,128507
Apr,2018,128956
